"","x"
"1552691_at",0.63944573524718
"1553627_s_at",0.375167037377065
"1554646_at",0.100271291745673
"1556375_at",0.22462541591859
"1556978_a_at",0.0891421444902014
"1557034_s_at",0.137038032410855
"1557064_s_at",0.17420432243484
"1558135_at",0.301250346681003
"1558467_a_at",0.410355263813266
"1558512_at",0.323413292946701
"1558822_at",0.215578521449812
"1559496_at",0.35386163067745
"1559633_a_at",0.498441482467545
"1559939_at",0.276572031882355
"1562194_at",0.297916989688951
"1563963_at",0.442277387185505
"1564192_at",0.121409294896645
"1564707_x_at",0.102975390481887
"1567101_at",0.463450148462272
"1567628_at",0.163125206777189
"1568377_x_at",0.09533120841837
"1569238_a_at",0.571548741063061
"1569316_at",0.409507498358916
"1570251_at",0.37155129979496
"1570414_x_at",0.28377532030286
"201220_x_at",0.0767842916371486
"201333_s_at",0.115838209646976
"201498_at",0.085035549723572
"202422_s_at",0.177968043427886
"202547_s_at",0.260059045078064
"202820_at",0.408214570781776
"202840_at",0.215550223735277
"203497_at",0.186918692201594
"203505_at",0.200034650124793
"204028_s_at",0.0997337112154248
"204720_s_at",0.26101265477637
"204964_s_at",0.174418197319002
"206754_s_at",0.243977424939465
"206822_s_at",0.348747719193011
"208790_s_at",0.198280748423199
"208895_s_at",0.135977729399392
"209255_at",0.319261475000524
"209898_x_at",0.097240363395092
"210540_s_at",0.227485308926419
"210835_s_at",0.0846871932834499
"212177_at",0.22858910007915
"212263_at",0.2015378303008
"212762_s_at",0.322274138906204
"212867_at",0.207347610339498
"212977_at",0.306174900407658
"213074_at",0.104550518732788
"213089_at",0.188880041423301
"213206_at",0.294059322926294
"213531_s_at",0.108539768046569
"213894_at",0.432219683024365
"213956_at",0.177325412294072
"214920_at",0.618639298818109
"214930_at",0.321069202705848
"215221_at",0.243855637688484
"215543_s_at",0.119903894252716
"216006_at",0.400787655766082
"216824_at",0.0893901203783232
"217189_s_at",0.159989946917032
"217603_at",0.499818304844947
"218079_s_at",0.106124345160953
"218847_at",0.092484883261212
"218967_s_at",0.372840375362085
"219497_s_at",0.0868136603642422
"220014_at",0.499504444142636
"221906_at",0.186846782185309
"222378_at",0.631948458570402
"222738_at",0.368392251486076
"222891_s_at",0.125701090735546
"223218_s_at",0.100016033852038
"224576_at",0.213286458058765
"224970_at",0.179835946357998
"224973_at",0.397082469220987
"225025_at",0.0812285540996434
"225066_at",0.359105470789667
"225336_at",0.139224551815893
"225888_at",0.310210447036295
"225935_at",0.144189044481764
"226981_at",0.149415463149378
"228304_at",0.276607318938451
"228453_at",0.134622233891394
"228457_at",0.244681798092601
"228623_at",0.129814382018278
"229434_at",0.114970062041701
"229571_at",0.17133181972337
"230000_at",0.169600931248886
"230209_at",0.306089792337557
"230494_at",0.260443651203739
"230609_at",0.743859316219945
"230651_at",0.150040780838335
"230681_at",0.45199826619044
"230886_at",0.224969018126568
"232376_at",0.428221694019366
"232421_at",0.155583919978414
"232461_at",0.547975702990458
"232788_at",0.367092382798554
"233314_at",0.363543041817759
"233444_at",0.181241955392427
"233473_x_at",0.162295646203919
"233834_at",0.34891173497933
"234681_s_at",0.247493012734131
"234969_s_at",0.228058545180142
"235023_at",0.17885532032107
"235138_at",0.207023320035187
"235318_at",0.277323346717372
"235381_at",0.197698967708928
"235555_at",0.255955048110997
"236114_at",0.161181952903923
"236153_at",0.270455208646474
"236721_at",0.210252541563811
"236934_at",0.337962479686409
"237064_x_at",0.439298488772624
"237218_at",0.463693066587703
"237239_at",0.166940583788985
"237246_at",0.420576809955877
"237289_at",0.240507472798777
"237418_at",0.266066650112899
"237870_at",0.113781891919142
"238130_at",0.155762934198762
"238149_at",0.363820849536739
"238697_at",0.293712532377598
"238883_at",0.275965475615622
"238954_at",0.266972128016782
"239009_at",0.103822033813466
"239130_at",0.509054172468338
"239597_at",0.187193241651461
"239606_at",0.405368343327692
"239946_at",0.370274574386467
"239955_at",0.420516184396766
"240262_at",0.47549493357039
"240554_at",0.205389308031556
"240594_at",0.356449589543957
"240759_at",0.410613024036574
"241119_at",0.711212820103353
"241348_at",0.203060606574452
"241364_at",0.210978204763592
"241471_at",0.294561952052188
"241495_at",0.317027956353652
"241834_at",0.27543627619283
"241906_at",0.24817260858444
"242059_at",0.55394557181739
"242108_at",0.336307686346652
"242427_at",0.400641378059153
"242485_at",0.379066103383006
"242642_at",0.417495367965081
"242824_at",0.241677239623488
"242876_at",0.334974931782742
"242878_at",0.276472079075445
"242901_at",0.38992047739796
"242920_at",0.220854557840841
"243020_at",0.770927449046148
"243026_x_at",0.391689009599396
"243058_at",0.241723846595167
"243066_at",0.212888158043034
"243109_at",0.685509417939166
"243227_at",0.262626088866578
"243235_at",0.458926664037524
"243251_at",0.283538329587307
"243261_at",0.3110524103803
"243263_at",0.510216896579189
"243338_at",0.520865606046082
"243355_at",0.378295479304544
"243387_at",0.396923149521881
"243606_at",0.740471339224106
"243656_at",0.571312170138292
"243688_at",0.21662674185536
"243731_at",0.118222370132075
"243743_at",0.147725184596833
"243774_at",0.353733176034547
"243833_at",0.432681313136809
"243840_at",0.170148801323975
"243852_at",0.461900496903681
"243869_at",0.489461777360947
"243893_at",0.319288881286413
"243912_x_at",0.297129527598421
"243996_at",0.374154977858514
"244053_at",0.224610342825763
"244233_at",0.090242922285714
"244550_at",0.234560342292309
"244726_at",0.211260768589612
"244845_at",0.25279770542291
"32069_at",0.220200904638503
"59631_at",0.223762561069023
"AFFX-hum_alu_at",0.27413050933653
